ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400
48942,CIS,Female,2011,2.76,2.79,3.04,2.81,2.47
39139,CIS,Male,2011,2.74,3.06,2.26,2.76,2.94
51824,CIS,Male,2011,2.44,3.64,1.83,2.39,2.11
55072,CIS,Male,2011,3.65,3.79,3.81,3.24,3.49
61539,CIS,Male,2011,3.73,3.87,3.88,3.59,3.50
94967,CIS,Female,2011,4.50,4.21,4.53,4.55,4.74
73929,CIS,Female,2011,4.23,3.89,4.14,4.38,4.60
72447,CIS,Female,2011,2.96,3.09,2.66,3.23,2.96
67866,CIS,Male,2011,2.51,3.28,2.51,2.55,1.92
91641,CIS,Female,2011,2.34,3.36,2.04,2.00,2.05
49646,CIS,Female,2011,3.99,3.91,3.62,4.07,4.43
77442,CIS,Female,2011,3.87,3.66,4.00,4.07,3.83
46029,CIS,Male,2011,2.67,1.83,2.61,3.52,3.06
34609,CIS,Male,2012,2.71,3.21,2.09,2.32,2.16
33122,CIS,Male,2011,2.54,2.96,2.77,2.45,2.07
37816,CIS,Male,2011,2.62,3.02,2.20,2.55,2.76
34290,CIS,Female,2011,2.93,2.83,2.91,3.06,2.96
27955,CIS,Male,2012,2.84,3.77,3.15,2.79,2.00
57151,CIS,Female,2011,3.49,3.79,3.56,3.17,3.31
58451,CIS,Male,2011,2.59,3.15,2.27,2.58,2.41
75755,CIS,Male,2012,1.95,2.53,1.80,1.79,1.77
24918,CIS,Male,2011,3.37,3.17,3.36,3.55,3.50
72558,CIS,Female,2011,4.08,3.64,4.28,4.21,4.29
62937,CIS,Female,2011,2.54,2.60,2.64,2.62,2.32
73791,CIS,Female,2011,3.47,3.53,3.76,3.38,3.14
57913,CIS,Female,2011,3.33,3.21,3.42,3.10,3.51
68603,CIS,Male,2012,2.35,3.34,2.13,2.74,1.75
93086,CIS,Female,2011,4.05,3.55,4.11,4.28,4.38
64973,CIS,Male,2012,2.15,3.09,2.26,2.16,1.56
61082,CIS,Male,2011,2.77,2.94,2.53,2.77,2.91
72797,CIS,Male,2011,2.45,2.89,2.10,1.87,2.75
44651,CIS,Male,2011,3.09,3.45,2.84,3.34,2.79
83149,CIS,Male,2011,3.66,3.17,3.98,4.07,3.60
60578,CIS,Male,2012,2.84,2.43,3.23,2.54,2.56
83312,CIS,Male,2011,3.57,3.91,3.40,3.69,3.29
47979,CIS,Female,2012,2.44,3.04,2.50,2.55,1.89
91873,CIS,Male,2011,3.56,3.34,3.75,3.45,3.70
87123,CIS,Female,2011,2.51,2.87,2.55,2.55,2.25
59674,CIS,Female,2011,3.04,3.30,3.53,2.90,2.45
88888,CIS,Male,2013,1.97,2.96,1.84,2.06,1.54
50564,CIS,Female,2011,3.52,3.00,3.44,3.66,4.10
23766,CIS,Female,2011,4.41,4.30,4.37,4.24,4.69
66075,CIS,Male,2011,2.78,3.53,2.47,2.81,2.46
77151,CIS,Male,2011,3.25,3.49,2.84,3.34,3.40
58777,CIS,Female,2011,4.16,3.81,4.51,4.24,4.14
65687,CIS,Male,2011,3.18,3.74,3.47,2.97,2.60
70085,CIS,Female,2011,3.88,3.53,3.78,3.90,4.36
25819,CIS,Male,2013,2.60,2.91,2.26,2.13,2.96
54788,CIS,Female,2011,3.44,2.96,3.42,3.74,3.77
88976,CIS,Female,2011,2.50,2.49,2.43,2.48,2.58
76865,CIS,Male,2011,3.58,3.62,3.09,4.14,3.69
64243,CIS,Male,2011,3.41,2.91,3.33,3.87,3.72
31788,CIS,Male,2011,4.40,4.21,4.60,4.28,4.50
31030,CIS,Female,2011,4.05,4.15,4.33,3.97,3.71
56515,CIS,Female,2011,2.79,2.91,3.14,2.94,2.34
88281,CIS,Male,2011,4.83,4.74,4.79,4.93,4.88
32319,CIS,Female,2011,4.68,4.68,4.81,4.62,4.60
31189,CIS,Female,2011,4.07,3.57,3.98,4.52,4.40
66271,CIS,Female,2011,4.12,3.62,4.24,4.34,4.40
90444,CIS,Female,2011,3.91,3.57,4.09,3.90,4.10
86550,CIS,Male,2013,2.19,3.09,3.36,1.32,1.98
72654,CIS,Male,2012,2.81,2.74,2.27,1.87,2.81
41972,CIS,Male,2011,3.80,4.00,3.79,3.90,3.50
63117,CIS,Male,2013,2.52,3.79,1.42,2.13,2.48
92544,CIS,Male,2011,3.37,3.66,2.82,3.73,3.21
68521,CIS,Female,2012,3.34,3.30,3.23,3.16,3.38
54961,CIS,Female,2012,4.41,4.24,4.35,4.76,4.40
86952,CIS,Female,2013,3.58,3.38,3.68,3.45,3.76
49064,CIS,Male,2012,3.44,3.93,3.41,3.17,2.90
40464,CIS,Male,2012,2.94,3.71,2.93,2.71,2.36
41942,CIS,Female,2013,1.87,2.20,2.43,1.62,1.42
48944,CIS,Female,2012,3.86,4.13,3.84,3.55,3.82
71570,CIS,Female,2013,3.58,3.80,3.19,3.63,3.70
60657,CIS,Female,2012,3.27,3.62,2.73,3.03,3.63
32884,CIS,Female,2012,4.28,4.16,4.26,4.83,4.07
60275,CIS,Male,2012,2.82,2.93,2.85,2.68,2.73
32077,CIS,Male,2012,3.65,4.11,3.37,3.55,3.39
79645,CIS,Male,2012,3.36,3.67,3.07,3.19,2.90
32034,CIS,Male,2012,4.20,4.36,4.09,4.48,3.80
97102,CIS,Male,2012,3.25,4.04,3.16,2.87,2.67
28448,CIS,Female,2012,4.52,4.53,4.49,4.62,4.48
87742,CIS,Male,2012,3.97,4.24,4.05,3.90,3.64
53672,CIS,Male,2012,3.56,4.04,3.22,3.35,3.40
84617,CIS,Female,2012,3.16,3.38,3.60,2.72,2.72
65484,CIS,Male,2012,4.43,4.91,4.30,4.83,3.76
63878,CIS,Female,2012,4.20,4.11,4.28,3.97,4.38
64614,CIS,Female,2012,4.00,3.93,3.95,4.14,4.02
41650,CIS,Female,2012,3.99,4.27,3.81,4.10,3.61
62642,CIS,Female,2012,3.81,3.96,3.41,3.69,3.98
64369,CIS,Male,2012,3.92,3.89,3.59,4.38,4.00
90349,CIS,Male,2012,3.61,3.20,3.48,3.93,3.33
93599,CIS,Male,2012,3.18,4.13,3.00,2.55,2.85
82482,CIS,Male,2012,3.81,3.96,3.70,3.86,3.57
83873,CIS,Male,2013,2.76,3.42,2.60,3.16,2.20
47714,CIS,Male,2012,4.52,4.56,4.63,4.21,4.57
87548,CIS,Male,2012,3.53,3.51,3.77,3.48,3.33
35241,CIS,Male,2013,2.08,3.31,2.15,1.42,1.62
45611,CIS,Male,2012,4.49,4.36,4.19,4.81,4.32
82166,CIS,Female,2012,3.27,3.87,3.05,2.87,3.15
55674,CIS,Male,2013,2.52,3.33,2.45,2.26,2.15
61442,CIS,Female,2012,3.18,3.07,3.10,3.38,3.06
78089,CIS,Male,2012,3.88,3.91,3.56,3.76,3.74
72320,CIS,Male,2012,4.35,4.58,4.26,4.79,3.73
40771,CIS,Male,2012,3.23,3.42,2.80,3.03,3.36
30560,CIS,Female,2012,3.86,3.76,3.88,4.34,3.60
72940,CIS,Male,2012,2.74,2.76,2.83,2.72,2.29
54888,CIS,Male,2012,3.78,3.98,3.35,3.81,3.98
33381,CIS,Male,2012,4.50,4.71,4.26,4.79,4.13
38897,CIS,Male,2012,4.36,4.38,4.19,4.39,4.31
39152,CIS,Male,2013,2.66,3.56,2.60,2.38,2.22
35913,CIS,Male,2012,4.25,3.82,4.33,4.79,4.25
27069,CIS,Male,2012,3.52,3.51,3.64,4.14,2.87
26554,CIS,Female,2012,4.03,3.71,3.93,4.48,4.17
59815,CIS,Male,2013,3.63,4.49,3.41,3.62,2.98
26765,CIS,Male,2012,3.32,3.58,3.26,3.66,2.91
61118,CIS,Male,2012,3.67,4.04,3.49,3.19,3.63
70357,CIS,Female,2013,2.60,2.53,2.18,3.45,2.64
53131,CIS,Male,2012,3.83,4.07,3.74,3.42,3.48
83079,CIS,Male,2012,4.31,4.27,4.42,4.59,4.05
52475,CIS,Female,2012,3.14,3.38,3.15,2.79,3.11
30887,CIS,Male,2013,2.65,3.69,2.66,2.03,2.24
88682,CIS,Female,2012,3.38,3.02,3.25,3.38,3.58
31120,CIS,Male,2012,3.27,3.80,2.63,3.45,3.15
96364,CIS,Male,2012,3.77,4.38,3.56,4.00,2.96
54794,CIS,Male,2012,4.36,4.53,4.33,4.62,4.02
60990,CIS,Male,2012,3.25,3.76,3.43,3.06,2.46
